,States,Count,Week_index
0,CA,691.0,0
1,TX,534.8571428571429,0
2,NY,351.2857142857143,0
3,FL,242.71428571428572,0
4,GA,197.0,0
5,VA,158.71428571428572,0
6,PA,138.42857142857142,0
7,OH,138.28571428571428,0
8,IL,132.42857142857142,0
9,NC,113.57142857142857,0
10,NJ,113.28571428571429,0
11,LA,108.71428571428571,0
12,AL,108.14285714285714,0
13,MD,94.28571428571429,0
14,AZ,83.0,0
15,TN,79.28571428571429,0
16,MA,76.42857142857143,0
17,MI,68.28571428571429,0
18,IN,64.28571428571429,0
19,WA,61.285714285714285,0
20,NV,49.0,0
21,MO,47.857142857142854,0
22,SC,45.0,0
23,CO,43.57142857142857,0
24,WI,41.714285714285715,0
25,KY,41.285714285714285,0
26,OK,40.285714285714285,0
27,CT,35.857142857142854,0
28,OR,35.285714285714285,0
29,IA,29.0,0
30,MN,28.571428571428573,0
31,MS,26.285714285714285,0
32,UT,24.285714285714285,0
33,KS,22.0,0
34,AR,20.714285714285715,0
35,NM,17.714285714285715,0
36,NE,13.428571428571429,0
37,RI,12.857142857142858,0
38,WV,12.285714285714286,0
39,ID,8.0,0
40,ME,7.428571428571429,0
41,NH,6.571428571428571,0
42,VT,5.142857142857143,0
43,SD,4.571428571428571,0
44,DE,4.142857142857143,0
45,MT,3.5714285714285716,0
46,ND,3.2857142857142856,0
47,WY,1.4285714285714286,0
0,CA,531.5714285714286,1
1,TX,461.57142857142856,1
2,NY,298.2857142857143,1
3,FL,222.57142857142858,1
4,GA,174.28571428571428,1
5,VA,138.71428571428572,1
6,PA,114.42857142857143,1
7,IL,111.0,1
8,NJ,104.71428571428571,1
9,OH,103.71428571428571,1
10,LA,95.57142857142857,1
11,NC,95.42857142857143,1
12,AL,90.42857142857143,1
13,MD,82.28571428571429,1
14,AZ,75.28571428571429,1
15,TN,67.85714285714286,1
16,MI,60.285714285714285,1
17,MA,59.57142857142857,1
18,IN,53.285714285714285,1
19,WA,49.142857142857146,1
20,CO,43.714285714285715,1
21,SC,42.42857142857143,1
22,MO,39.857142857142854,1
23,NV,39.0,1
24,KY,37.285714285714285,1
25,OR,35.142857142857146,1
26,OK,30.571428571428573,1
27,CT,30.285714285714285,1
28,MN,27.428571428571427,1
29,IA,26.571428571428573,1
30,WI,25.857142857142858,1
31,MS,24.571428571428573,1
32,KS,21.428571428571427,1
33,AR,19.857142857142858,1
34,UT,16.428571428571427,1
35,NM,13.714285714285714,1
36,WV,11.714285714285714,1
37,NE,11.285714285714286,1
38,RI,9.0,1
39,ID,8.571428571428571,1
40,NH,8.428571428571429,1
41,VT,5.142857142857143,1
42,ME,5.0,1
43,ND,3.5714285714285716,1
44,MT,3.142857142857143,1
45,WY,2.857142857142857,1
46,DE,2.7142857142857144,1
47,SD,2.7142857142857144,1
0,CA,383.42857142857144,2
1,TX,301.2857142857143,2
2,NY,208.0,2
3,FL,153.42857142857142,2
4,GA,124.28571428571429,2
5,VA,87.28571428571429,2
6,IL,80.42857142857143,2
7,PA,77.57142857142857,2
8,OH,73.42857142857143,2
9,NC,72.42857142857143,2
10,AL,71.42857142857143,2
11,LA,67.0,2
12,NJ,65.0,2
13,MD,51.42857142857143,2
14,AZ,50.0,2
15,MA,43.285714285714285,2
16,MI,43.0,2
17,TN,42.285714285714285,2
18,WA,39.285714285714285,2
19,IN,34.714285714285715,2
20,SC,33.714285714285715,2
21,CO,30.857142857142858,2
22,MO,28.571428571428573,2
23,KY,27.0,2
24,NV,26.142857142857142,2
25,CT,24.428571428571427,2
26,OR,24.428571428571427,2
27,WI,21.0,2
28,OK,20.714285714285715,2
29,MN,19.0,2
30,MS,17.714285714285715,2
31,IA,16.285714285714285,2
32,KS,15.714285714285714,2
33,AR,13.571428571428571,2
34,UT,13.285714285714286,2
35,WV,8.428571428571429,2
36,NM,8.0,2
37,ID,7.857142857142857,2
38,NE,6.857142857142857,2
39,NH,6.285714285714286,2
40,RI,5.571428571428571,2
41,DE,3.7142857142857144,2
42,ME,3.5714285714285716,2
43,MT,3.2857142857142856,2
44,VT,2.5714285714285716,2
45,ND,2.4285714285714284,2
46,WY,1.2857142857142858,2
47,SD,1.1428571428571428,2
0,CA,229.28571428571428,3
1,TX,179.85714285714286,3
2,NY,134.57142857142858,3
3,FL,94.57142857142857,3
4,GA,74.14285714285714,3
5,VA,58.57142857142857,3
6,PA,47.57142857142857,3
7,OH,45.42857142857143,3
8,IL,45.285714285714285,3
9,NJ,44.714285714285715,3
10,NC,42.714285714285715,3
11,AL,40.42857142857143,3
12,LA,36.0,3
13,MD,34.142857142857146,3
14,AZ,31.285714285714285,3
15,MA,30.571428571428573,3
16,TN,27.714285714285715,3
17,MI,23.714285714285715,3
18,IN,23.571428571428573,3
19,WA,21.142857142857142,3
20,SC,19.571428571428573,3
21,MO,19.428571428571427,3
22,NV,16.0,3
23,KY,15.857142857142858,3
24,OR,15.714285714285714,3
25,CO,14.428571428571429,3
26,CT,14.428571428571429,3
27,OK,14.428571428571429,3
28,KS,13.571428571428571,3
29,MS,13.285714285714286,3
30,WI,12.285714285714286,3
31,IA,12.0,3
32,MN,10.0,3
33,UT,8.0,3
34,AR,7.142857142857143,3
35,WV,6.142857142857143,3
36,NM,6.142857142857143,3
37,NE,5.714285714285714,3
38,NH,4.571428571428571,3
39,RI,4.571428571428571,3
40,ID,4.428571428571429,3
41,ME,3.0,3
42,VT,2.7142857142857144,3
43,MT,2.2857142857142856,3
44,DE,1.8571428571428572,3
45,WY,1.5714285714285714,3
46,SD,1.1428571428571428,3
47,ND,1.0,3
0,CA,824.8571428571429,4
1,NY,533.0,4
2,TX,451.0,4
3,FL,309.2857142857143,4
4,VA,218.85714285714286,4
5,PA,208.14285714285714,4
6,GA,184.0,4
7,IL,176.42857142857142,4
8,OH,164.14285714285714,4
9,AL,154.0,4
10,NJ,148.28571428571428,4
11,NC,147.57142857142858,4
12,MA,140.71428571428572,4
13,MD,133.14285714285714,4
14,AZ,115.0,4
15,WA,112.42857142857143,4
16,TN,111.85714285714286,4
17,MI,97.85714285714286,4
18,CO,88.0,4
19,NV,81.0,4
20,IN,74.28571428571429,4
21,MO,73.57142857142857,4
22,SC,69.28571428571429,4
23,CT,69.0,4
24,MN,67.28571428571429,4
25,KY,62.57142857142857,4
26,OR,61.285714285714285,4
27,LA,60.714285714285715,4
28,WI,60.42857142857143,4
29,IA,54.285714285714285,4
30,OK,38.42857142857143,4
31,KS,35.285714285714285,4
32,UT,34.714285714285715,4
33,NM,28.857142857142858,4
34,AR,26.714285714285715,4
35,MS,23.142857142857142,4
36,NE,22.857142857142858,4
37,RI,21.0,4
38,NH,19.857142857142858,4
39,WV,15.571428571428571,4
40,ME,15.428571428571429,4
41,ID,15.0,4
42,VT,11.714285714285714,4
43,MT,9.857142857142858,4
44,SD,6.571428571428571,4
45,DE,6.571428571428571,4
46,ND,4.142857142857143,4
47,WY,2.142857142857143,4
0,CA,1028.2857142857142,5
1,NY,634.5714285714286,5
2,TX,540.7142857142857,5
3,FL,365.57142857142856,5
4,VA,286.0,5
5,PA,248.85714285714286,5
6,IL,231.71428571428572,5
7,GA,209.85714285714286,5
8,OH,192.14285714285714,5
9,NJ,191.28571428571428,5
10,NC,176.28571428571428,5
11,MA,169.42857142857142,5
12,MD,169.28571428571428,5
13,AL,159.0,5
14,WA,147.14285714285714,5
15,AZ,135.0,5
16,MI,122.14285714285714,5
17,TN,121.85714285714286,5
18,CO,108.14285714285714,5
19,NV,101.57142857142857,5
20,MO,95.57142857142857,5
21,IN,90.28571428571429,5
22,MN,87.85714285714286,5
23,CT,84.85714285714286,5
24,SC,82.57142857142857,5
25,IA,72.28571428571429,5
26,OR,70.71428571428571,5
27,WI,70.28571428571429,5
28,LA,67.14285714285714,5
29,KY,65.71428571428571,5
30,OK,54.142857142857146,5
31,KS,47.42857142857143,5
32,UT,41.42857142857143,5
33,AR,38.857142857142854,5
34,NM,36.714285714285715,5
35,NE,30.714285714285715,5
36,MS,25.142857142857142,5
37,RI,24.0,5
38,NH,23.714285714285715,5
39,ID,20.142857142857142,5
40,ME,15.428571428571429,5
41,WV,13.285714285714286,5
42,MT,12.714285714285714,5
43,VT,11.285714285714286,5
44,SD,8.857142857142858,5
45,ND,8.857142857142858,5
46,DE,6.285714285714286,5
47,WY,4.571428571428571,5
0,CA,975.4285714285714,6
1,NY,613.1428571428571,6
2,TX,553.0,6
3,FL,328.7142857142857,6
4,VA,269.85714285714283,6
