,week_index,count,country_code,Postive_tweets,Negative_tweets
0,0,6490,NG,2255,1249
1,1,6470,NG,2317,1087
2,5,6032,NG,2378,1000
3,6,5700,NG,2277,976
4,4,5432,NG,2078,1023
5,8,5164,NG,2065,808
6,10,4451,NG,1738,789
7,7,4260,NG,1728,663
8,12,4215,NG,1719,743
9,9,4025,NG,1695,643
10,14,3820,NG,1647,694
11,13,3783,NG,1712,639
12,11,3516,NG,1474,569
13,15,3229,NG,1438,530
14,2,3195,NG,1188,549
15,18,3018,NG,1227,515
16,17,2985,NG,1247,470
17,16,2913,NG,1307,472
18,31,2896,NG,903,596
19,20,2730,NG,1098,464
20,39,2679,NG,995,495
21,41,2569,NG,1015,430
22,19,2460,NG,991,399
23,42,2431,NG,1015,433
24,21,2363,NG,1048,342
25,3,2270,NG,813,390
26,24,2261,NG,943,399
27,40,2253,NG,899,372
28,27,2110,NG,913,330
29,43,2072,NG,855,371
30,30,2039,NG,692,398
31,23,2023,NG,848,283
32,22,1894,NG,785,303
33,26,1775,NG,753,293
34,38,1764,NG,681,332
35,29,1727,NG,647,338
36,45,1671,NG,713,241
37,25,1630,NG,687,287
38,32,1485,NG,552,234
39,44,1395,NG,568,267
40,28,1363,NG,571,232
41,33,1234,NG,473,196
42,46,1182,NG,478,207
43,34,1084,NG,423,186
44,35,1042,NG,421,182
45,49,1003,NG,426,150
46,48,958,NG,388,132
47,37,892,NG,356,137
48,36,889,NG,360,129
49,47,840,NG,346,138
0,8,616,AE,291,107
1,9,606,AE,277,106
2,12,559,AE,268,94
3,10,554,AE,236,108
4,11,540,AE,254,90
5,14,503,AE,247,81
6,13,496,AE,241,91
7,1,485,AE,215,76
8,43,443,AE,217,87
9,17,440,AE,225,68
10,42,428,AE,204,74
11,16,426,AE,206,75
12,41,425,AE,203,96
13,6,424,AE,203,69
14,5,415,AE,184,95
15,15,411,AE,190,78
16,0,410,AE,156,74
17,44,402,AE,191,55
18,25,381,AE,170,56
19,7,379,AE,173,64
20,19,375,AE,204,54
21,4,373,AE,163,70
22,45,366,AE,173,67
23,20,357,AE,170,71
24,39,351,AE,158,55
25,23,351,AE,191,57
26,40,346,AE,171,61
27,18,345,AE,186,56
28,21,340,AE,169,49
29,35,334,AE,186,39
30,46,333,AE,157,63
31,38,331,AE,150,56
32,24,325,AE,151,58
33,26,324,AE,142,65
34,48,322,AE,149,50
35,27,318,AE,138,67
36,37,313,AE,149,59
37,22,309,AE,156,56
38,2,305,AE,126,55
39,47,300,AE,138,47
40,32,296,AE,123,66
41,29,295,AE,151,60
42,3,292,AE,119,53
43,36,278,AE,137,44
44,31,273,AE,123,38
45,34,268,AE,125,43
46,28,265,AE,126,54
47,33,255,AE,121,47
48,49,243,AE,104,44
49,30,226,AE,106,50
0,40,7121,ZA,2328,1755
1,41,6905,ZA,2504,1548
2,42,6809,ZA,2431,1402
3,16,6191,ZA,2380,1308
4,17,5561,ZA,2093,1083
5,14,5262,ZA,2047,1080
6,15,5241,ZA,2010,1083
7,18,5094,ZA,1845,1049
8,43,5084,ZA,1754,1063
9,45,4660,ZA,1709,879
10,13,4568,ZA,1873,847
11,44,4427,ZA,1549,987
12,21,4362,ZA,1692,812
13,38,4307,ZA,1536,911
14,19,4302,ZA,1653,876
15,9,4263,ZA,1663,773
16,12,4117,ZA,1627,838
17,20,3910,ZA,1442,771
18,46,3836,ZA,1305,869
19,39,3642,ZA,1444,749
20,8,3589,ZA,1336,699
21,10,3426,ZA,1339,696
22,11,3209,ZA,1253,661
23,1,3119,ZA,997,623
24,6,2965,ZA,1042,520
25,0,2878,ZA,974,577
26,22,2815,ZA,1110,566
27,5,2800,ZA,985,500
28,37,2796,ZA,969,551
29,7,2774,ZA,1020,549
30,25,2621,ZA,981,646
31,24,2546,ZA,1032,472
32,47,2376,ZA,853,471
33,23,2327,ZA,953,434
34,4,2260,ZA,785,426
35,48,2036,ZA,782,373
36,26,1996,ZA,759,363
37,2,1938,ZA,659,375
38,33,1928,ZA,736,358
39,36,1928,ZA,713,369
40,30,1882,ZA,655,356
41,31,1858,ZA,713,391
42,29,1774,ZA,656,335
43,27,1740,ZA,639,351
44,49,1733,ZA,648,332
45,34,1676,ZA,619,350
46,35,1666,ZA,637,336
47,32,1601,ZA,638,303
48,28,1368,ZA,485,272
49,3,1222,ZA,419,259
0,34,123457,US,49222,30262
1,38,113564,US,47607,25868
2,35,113440,US,46764,28049
3,37,111287,US,45592,26841
4,39,99948,US,41441,24465
5,14,97485,US,40886,24681
6,16,96675,US,40969,24282
7,33,96201,US,40771,21605
8,15,94198,US,39343,23778
9,20,94010,US,41002,22778
10,17,92533,US,39540,23418
11,28,91391,US,36821,22956
12,19,90372,US,38914,21925
13,31,89265,US,37746,21677
14,18,88883,US,38134,21714
15,36,88770,US,37493,21457
16,21,87046,US,38759,20859
17,32,86430,US,35927,20988
18,13,85778,US,36579,21710
19,25,80611,US,33417,20718
20,23,77284,US,33888,19132
21,29,76687,US,31798,19143
22,22,76658,US,33940,18317
23,40,74564,US,30902,18903
24,41,74409,US,32045,18696
25,24,72466,US,31673,17900
26,12,69503,US,30432,16601
27,9,69214,US,29640,16041
28,44,69107,US,30939,15684
29,8,68396,US,29074,15809
30,30,68194,US,29311,16529
31,49,67511,US,29978,15343
32,43,67203,US,29635,15454
33,26,65241,US,27231,16443
34,45,64277,US,28612,14848
35,27,61750,US,26687,15340
36,46,60966,US,27453,14158
37,42,59037,US,25525,14386
38,10,55601,US,22977,14071
39,48,54223,US,24462,12376
40,47,52443,US,23804,12060
41,11,52408,US,23123,12432
42,5,46564,US,19594,10734
43,6,45008,US,19402,10031
44,7,44649,US,18966,10105
45,4,38246,US,15796,8885
46,0,29590,US,10250,7438
47,1,25035,US,9107,6269
48,2,17424,US,6386,4476
49,3,10728,US,4117,2638
0,33,937,NL,211,85
1,37,929,NL,173,92
2,29,898,NL,243,110
3,38,857,NL,276,147
4,30,792,NL,206,91
5,36,774,NL,152,68
6,41,754,NL,205,107
7,34,723,NL,188,94
8,43,686,NL,200,84
9,39,658,NL,245,96
10,35,658,NL,146,92
11,31,649,NL,209,94
12,40,608,NL,160,79
13,32,583,NL,248,94
14,42,562,NL,192,97
15,48,535,NL,145,64
16,46,531,NL,154,75
17,8,466,NL,227,87
18,9,464,NL,229,74
19,44,461,NL,204,96
20,1,452,NL,180,90
21,21,448,NL,208,84
22,10,445,NL,224,78
23,28,433,NL,183,109
24,27,415,NL,188,73
25,45,404,NL,169,79
26,13,404,NL,215,69
27,0,396,NL,161,69
28,11,386,NL,210,69
29,12,386,NL,198,67
30,4,368,NL,154,94
31,26,367,NL,157,75
32,47,361,NL,134,84
33,16,354,NL,171,79
34,14,353,NL,161,56
35,20,351,NL,169,71
36,19,350,NL,164,58
37,22,346,NL,169,71
38,17,341,NL,166,76
39,24,330,NL,141,75
40,3,318,NL,121,78
41,15,316,NL,148,66
42,23,314,NL,162,57
43,2,311,NL,128,61
44,5,301,NL,127,55
45,18,301,NL,138,64
46,49,296,NL,129,54
47,7,293,NL,157,45
48,6,285,NL,117,52
49,25,278,NL,120,50
0,21,2072,PH,829,329
1,19,2071,PH,838,397
2,20,1948,PH,814,312
3,40,1883,PH,863,346
4,13,1871,PH,894,302
5,14,1857,PH,840,311
6,22,1708,PH,705,301
7,16,1650,PH,721,263
8,18,1649,PH,742,240
9,17,1587,PH,670,282
10,8,1580,PH,669,247
11,15,1568,PH,666,253
12,10,1567,PH,617,291
13,23,1521,PH,601,245
14,24,1413,PH,612,258
15,42,1383,PH,608,249
16,25,1382,PH,563,240
17,12,1353,PH,683,180
18,26,1345,PH,539,213
19,49,1344,PH,598,236
20,9,1331,PH,541,230
21,41,1324,PH,627,206
22,38,1237,PH,505,223
23,43,1201,PH,501,210
24,27,1142,PH,469,172
25,11,1089,PH,480,193
26,35,1060,PH,477,158
27,39,1044,PH,421,200
28,36,1005,PH,450,136
29,37,993,PH,460,143
30,34,981,PH,410,165
31,29,975,PH,424,152
32,6,967,PH,385,165
33,32,966,PH,400,149
34,48,944,PH,372,178
35,33,938,PH,394,124
36,30,933,PH,392,150
37,31,926,PH,386,152
38,45,910,PH,386,159
39,44,893,PH,396,128
40,5,893,PH,382,146
41,4,874,PH,351,140
42,28,865,PH,348,131
43,7,843,PH,369,134
44,46,760,PH,319,142
45,47,752,PH,333,137
46,0,448,PH,152,83
47,1,397,PH,139,68
48,2,162,PH,63,22
49,3,108,PH,34,26
0,1,19738,IN,8875,4192
1,11,19287,IN,9122,4072
2,12,19248,IN,9169,3768
3,9,19063,IN,9132,3882
4,16,18677,IN,8577,3500
5,0,18579,IN,8334,3562
6,8,18108,IN,8686,3452
7,10,17746,IN,8173,3484
8,17,17391,IN,8265,3407
9,14,17033,IN,8119,3292
10,2,16953,IN,7996,2847
11,13,16274,IN,7946,3200
12,18,15728,IN,7267,3178
13,15,15306,IN,7015,3267
14,6,14409,IN,6904,2648
15,7,13190,IN,6304,2557
16,4,13144,IN,6228,2501
17,5,12926,IN,6025,2316
18,20,12769,IN,6191,2548
19,19,12674,IN,6427,2304
20,22,12666,IN,6049,2336
21,23,12537,IN,5824,2776
22,24,12073,IN,5540,2718
23,3,11813,IN,5893,2333
24,21,11643,IN,5517,2264
25,25,9995,IN,4422,2084
26,41,7711,IN,3895,1337
27,26,7569,IN,3504,1586
28,27,7541,IN,3624,1522
29,35,6944,IN,3324,1383
30,36,6214,IN,2839,1171
31,43,6125,IN,3030,951
32,29,6123,IN,2887,1153
33,31,5940,IN,3012,1019
34,37,5630,IN,2720,1065
35,30,5527,IN,2659,1029
36,34,5523,IN,2893,994
37,33,5197,IN,2616,980
38,49,5119,IN,2558,899
39,32,4995,IN,2429,975
40,39,4991,IN,2537,899
41,38,4961,IN,2378,953
42,40,4705,IN,2312,880
43,28,4704,IN,2240,961
44,42,4648,IN,2359,836
45,48,4403,IN,2124,782
46,44,4255,IN,2168,708
47,45,3866,IN,1972,677
48,46,3409,IN,1672,593
49,47,3146,IN,1509,610
0,35,13483,CA,6016,3209
1,37,11983,CA,5695,2530
2,36,11440,CA,5206,2679
3,34,11404,CA,5234,2609
4,38,10629,CA,5071,2166
5,41,9777,CA,4568,2370
6,39,9174,CA,4375,2047
7,42,9050,CA,4221,2122
8,33,8640,CA,4145,1882
9,43,8629,CA,4097,1904
10,45,8582,CA,4109,1993
